0,0,1.727566902e+04,5.231439112e-09,3.851429834e-03
1,0,1.703118051e+04,5.357717153e-09,3.860165244e-03
2,0,1.682965375e+04,5.463265665e-09,3.867316095e-03
3,0,1.665049064e+04,5.558256450e-09,3.873638992e-03
4,0,1.648582389e+04,5.646556271e-09,3.879424016e-03
5,0,1.633160030e+04,5.730150373e-09,3.884821137e-03
6,0,1.618538921e+04,5.810226412e-09,3.889920586e-03
7,0,1.604558958e+04,5.887565604e-09,3.894781992e-03
8,0,1.591107686e+04,5.962716488e-09,3.899447374e-03
9,0,1.578102327e+04,6.036083179e-09,3.903947766e-03
10,0,1.565479721e+04,6.107974619e-09,3.908306927e-03
11,0,1.553190293e+04,6.178634080e-09,3.912543573e-03
12,0,1.541194229e+04,6.248257840e-09,3.916672793e-03
13,0,1.529458937e+04,6.317007536e-09,3.920706984e-03
14,0,1.517957308e+04,6.385018632e-09,3.924656505e-03
15,0,1.506666481e+04,6.452406413e-09,3.928530129e-03
16,0,1.495566949e+04,6.519270330e-09,3.932335379e-03
17,0,1.484641889e+04,6.585697232e-09,3.936078774e-03
18,0,1.473876665e+04,6.651763801e-09,3.939766021e-03
19,0,1.463258435e+04,6.717538434e-09,3.943402154e-03
20,0,1.452775847e+04,6.783082716e-09,3.946991653e-03
21,0,1.442418806e+04,6.848452580e-09,3.950538531e-03
22,0,1.432178271e+04,6.913699247e-09,3.954046406e-03
23,0,1.422046108e+04,6.978869982e-09,3.957518561e-03
24,0,1.412014959e+04,7.044008723e-09,3.960957993e-03
25,0,1.402078135e+04,7.109156598e-09,3.964367448e-03
26,0,1.392229531e+04,7.174352354e-09,3.967749460e-03
27,0,1.382463551e+04,7.239632732e-09,3.971106378e-03
28,0,1.372775047e+04,7.305032773e-09,3.974440385e-03
29,0,1.363159262e+04,7.370586092e-09,3.977753523e-03
30,0,1.353611793e+04,7.436325109e-09,3.981047709e-03
31,0,1.344128545e+04,7.502281258e-09,3.984324749e-03
32,0,1.334705698e+04,7.568485164e-09,3.987586354e-03
33,0,1.325339683e+04,7.634966806e-09,3.990834147e-03
