time,kInc,emittedTotal,Nd_before,Nd_after,removedBoundaryTotal,Kapp_peak_MPam05,Ktip_before_MPam05,Ktip_after_MPam05,Ktip_drop_MPam05
2.63268995e+12,4403480,246,245,246,0,2.49432309e+00,1.56625314e+00,1.44945543e+00,1.16797709e-01
2.63819088e+12,4424395,247,246,247,0,2.49953491e+00,1.56847637e+00,1.45167866e+00,1.16797709e-01
2.64369052e+12,4445370,248,247,248,0,2.50474550e+00,1.57069931e+00,1.45390161e+00,1.16797709e-01
2.64918916e+12,4466406,249,248,249,0,2.50995515e+00,1.57292312e+00,1.45612541e+00,1.16797709e-01
2.65468680e+12,4487503,250,249,250,0,2.51516385e+00,1.57514766e+00,1.45834995e+00,1.16797709e-01
2.66018347e+12,4508661,251,250,251,0,2.52037163e+00,1.57737296e+00,1.46057525e+00,1.16797709e-01
2.66567890e+12,4529879,252,251,252,0,2.52557824e+00,1.57959807e+00,1.46280036e+00,1.16797709e-01
2.67117340e+12,4551158,253,252,253,0,2.53078396e+00,1.58182410e+00,1.46502639e+00,1.16797709e-01
2.67666694e+12,4572498,254,253,254,0,2.53598877e+00,1.58405085e+00,1.46725314e+00,1.16797709e-01
2.68215929e+12,4593898,255,254,255,0,2.54119246e+00,1.58627754e+00,1.46947983e+00,1.16797709e-01
2.68765073e+12,4615359,256,255,256,0,2.54639528e+00,1.58850507e+00,1.47170736e+00,1.16797709e-01
2.69314126e+12,4636881,257,256,257,0,2.55159725e+00,1.59073343e+00,1.47393572e+00,1.16797709e-01
2.69863063e+12,4658463,258,257,258,0,2.55679811e+00,1.59296164e+00,1.47616393e+00,1.16797709e-01
2.70411913e+12,4680106,259,258,259,0,2.56199815e+00,1.59519080e+00,1.47839309e+00,1.16797709e-01
2.70960649e+12,4701809,260,259,260,0,2.56719711e+00,1.59741986e+00,1.48062215e+00,1.16797709e-01
2.71509300e+12,4723573,261,260,261,0,2.57239527e+00,1.59964985e+00,1.48285214e+00,1.16797709e-01
